
B,B,B,4,2,2,1,2,B,1,0,5,1,B,1,4,6,6,2,4,2,5,6,7,7,2,4,5,5,7,5,4,4,4,B,B,D,3,4,6,5,8,8,8,9,4,9,4,6,5,6,8,5,9,8,8,5,5,D,A,7,3,8,5,3,7,5,3,4,8,4,5,4,4,3,6,4,4,5,A,1,2,5,6,D,6,1,A,4,6,3,A,2,2,2,1,0,2,A
B,0,1,B,B,2,4,1,2,5,B,4,2,5,4,2,3,1,3,1,4,3,4,B,7,6,3,2,3,4,6,4,7,B,7,D,5,3,6,D,3,4,5,4,6,8,8,6,9,4,9,3,7,6,6,8,3,8,4,7,6,D,3,5,9,D,A,6,2,D,A,2,6,6,2,5,5,6,A,3,5,3,6,6,3,3,2,A,0,5,2,5,3,2,A,4,2,A,A
B,B,2,1,3,4,2,4,B,4,B,5,6,5,4,4,4,3,B,6,3,2,4,2,3,6,B,7,4,6,2,6,2,7,7,5,6,3,5,5,6,D,8,B,5,9,6,8,6,4,D,3,7,4,6,D,6,5,4,4,6,4,3,5,A,3,7,7,6,4,A,4,6,4,6,2,3,A,6,2,3,1,2,1,1,5,5,3,1,1,A,1,2,1,2,0,2,0,A
B,0,0,1,3,1,3,0,3,1,B,1,2,3,4,B,6,B,3,4,5,2,4,B,5,6,6,6,6,3,3,7,7,7,B,6,9,4,7,8,7,8,7,4,5,6,9,8,9,7,9,7,9,8,6,8,6,9,6,A,5,7,7,8,6,5,4,8,A,6,3,7,6,4,4,5,7,4,7,2,4,3,6,7,5,5,6,7,7,A,5,3,6,5,2,A,2,2,A
B,B,1,1,2,B,3,1,2,1,B,5,1,5,5,3,5,4,2,3,6,6,3,B,1,6,3,4,3,4,B,6,8,4,7,2,6,6,6,D,3,3,5,6,B,8,7,5,4,6,3,8,3,3,3,D,A,7,8,6,5,8,5,A,5,3,6,4,4,2,7,7,4,7,A,6,2,4,2,5,4,4,5,4,0,A,5,1,4,2,2,0,4,4,2,1,2,A,A
B,2,B,3,2,4,B,5,B,3,3,4,2,4,1,5,4,3,1,5,2,4,2,3,B,6,4,6,B,8,7,2,7,5,6,3,6,5,8,6,6,5,B,4,7,7,7,4,3,7,7,4,7,5,5,5,A,7,4,6,D,7,5,3,8,7,4,7,A,2,5,3,6,7,6,A,5,4,2,4,1,4,4,3,5,4,2,5,5,3,A,4,1,5,1,A,1,3,A
B,3,0,3,3,0,1,B,2,4,1,4,5,B,4,6,6,5,2,B,4,2,4,3,4,3,B,4,3,3,8,7,6,3,6,3,5,7,3,5,8,5,B,9,6,A,8,5,8,8,8,8,4,6,8,4,6,8,4,5,6,6,3,5,6,7,5,4,5,6,6,A,2,5,2,6,2,4,5,6,4,7,6,2,2,4,6,1,A,3,3,0,1,3,2,5,A,0,A
B,B,B,0,0,0,B,0,4,B,1,5,1,D,3,0,4,3,5,2,6,3,3,3,6,3,4,3,1,B,D,6,D,5,7,4,D,6,7,3,D,D,D,6,5,6,8,2,7,2,2,2,7,5,2,4,5,6,4,4,6,7,3,5,5,6,6,5,A,4,4,4,3,2,1,4,4,1,6,1,3,4,3,2,A,0,4,5,4,2,2,0,3,5,1,1,D,A,A
B,B,2,B,2,4,5,0,1,0,1,4,1,3,1,5,B,5,5,B,5,3,3,6,D,5,4,1,4,7,2,4,5,B,2,6,6,2,D,3,4,3,5,7,3,3,7,7,3,5,2,3,3,D,7,6,7,4,2,2,6,7,4,6,3,6,5,3,A,A,4,2,1,2,5,6,3,1,3,4,5,4,A,2,0,3,3,0,3,3,4,0,3,2,3,D,2,5,A
B,0,B,4,0,1,3,4,2,1,4,B,1,4,4,2,4,3,4,1,5,5,4,5,2,4,1,B,B,6,5,7,6,5,5,6,2,6,4,5,4,3,7,6,4,4,6,5,5,6,5,7,2,4,5,3,2,6,4,5,5,4,2,D,4,3,3,7,2,5,2,5,2,2,1,4,6,1,A,2,5,5,6,2,3,5,3,2,A,5,0,4,D,0,A,1,1,A,A
B,B,B,3,0,2,0,3,1,3,2,0,3,4,4,B,1,D,3,6,6,2,2,5,5,B,D,6,7,7,1,2,4,7,6,3,3,3,3,4,5,6,4,4,6,6,B,3,7,3,5,D,6,6,6,6,D,D,5,2,4,5,D,5,7,A,4,2,2,7,5,2,6,7,4,5,A,6,D,4,0,1,4,5,5,3,0,A,4,5,0,5,0,D,1,2,1,A,A
B,B,2,B,2,1,0,2,0,1,1,1,3,2,1,2,B,5,5,3,0,5,2,B,D,6,3,B,3,4,2,7,2,5,1,3,5,3,5,2,6,2,6,2,3,5,6,2,4,B,D,6,4,2,5,6,4,6,3,6,5,D,4,3,A,5,2,4,5,1,1,2,6,6,5,6,2,3,1,3,2,A,4,2,4,4,1,3,3,4,1,0,2,3,1,A,0,1,A
B,0,B,2,B,5,3,3,5,0,5,2,5,1,1,1,3,D,B,4,5,3,4,3,4,6,4,1,1,B,3,1,5,2,5,7,1,6,2,D,2,3,2,5,B,A,4,7,4,5,3,6,2,4,6,7,3,3,5,5,6,4,7,3,4,5,6,6,5,D,3,D,1,2,D,6,A,2,2,2,0,5,D,6,4,3,A,2,1,3,0,1,4,1,3,4,4,A,A
B,2,4,3,0,2,4,D,0,1,0,4,B,5,3,6,2,4,1,5,6,2,B,1,1,7,4,3,4,7,3,2,3,B,4,3,2,5,6,5,7,6,6,D,4,B,8,6,D,7,5,3,3,D,D,4,A,3,4,3,6,D,4,4,2,A,6,3,3,5,D,5,4,5,2,5,7,2,6,4,6,3,A,3,A,1,1,4,4,2,2,1,3,4,1,0,A,1,A
B,1,2,2,B,B,2,0,4,2,3,0,3,5,2,3,5,1,2,1,0,4,0,5,2,2,B,2,3,3,1,2,2,3,4,3,5,1,1,1,B,2,5,4,5,7,5,5,5,5,6,2,6,D,3,5,6,5,A,4,D,4,3,1,6,4,2,2,6,2,1,3,D,3,2,A,5,2,2,1,2,0,3,5,A,3,2,1,5,2,4,3,3,1,A,A,A,A,A
B,1,2,2,B,0,B,1,2,4,4,3,1,3,4,0,5,1,B,D,D,4,4,4,1,2,3,2,B,4,4,D,4,4,7,5,3,6,4,6,D,1,4,2,6,4,1,1,2,2,6,2,7,6,5,7,6,3,A,2,4,5,2,5,1,4,6,6,5,1,5,6,2,6,2,D,3,3,0,3,A,4,3,0,1,A,3,2,4,0,0,2,0,4,0,1,A,0,A
B,0,0,B,1,1,3,3,0,4,1,1,4,B,1,2,3,1,1,4,1,4,3,B,0,5,2,D,6,4,1,4,2,3,B,3,4,4,4,3,2,5,7,3,5,2,6,3,2,2,6,3,3,3,3,7,5,4,1,6,4,4,4,5,A,6,2,5,3,1,4,6,0,0,2,5,2,6,3,0,A,1,1,4,1,D,2,2,4,1,2,A,0,A,0,3,A,A,A
B,1,B,0,B,0,2,1,B,0,5,3,5,3,3,1,B,6,B,2,3,D,6,4,1,4,6,6,B,8,5,5,2,6,6,2,2,5,4,4,3,6,B,6,8,3,8,A,6,4,8,6,D,3,3,6,3,6,6,D,6,6,3,4,6,8,6,2,2,5,2,4,D,D,A,3,5,4,7,2,6,A,5,4,3,1,5,4,2,5,2,1,A,1,2,A,A,0,A
B,2,B,2,3,3,2,1,2,1,4,2,2,3,B,5,3,2,1,D,0,1,B,6,1,1,0,0,2,3,4,0,0,0,2,6,3,3,3,3,5,5,4,2,5,1,1,B,2,3,4,4,4,4,7,A,3,2,3,2,1,4,6,2,2,5,3,2,D,2,5,3,4,A,1,0,5,0,3,2,5,5,4,D,3,4,3,1,0,D,A,0,0,4,2,3,1,0,A
B,B,3,B,3,1,1,2,1,0,3,D,1,2,0,0,3,3,B,1,0,B,1,D,2,1,5,1,6,D,5,4,D,1,4,6,3,3,B,3,D,2,D,5,2,6,A,D,6,3,2,D,2,4,6,4,3,5,2,D,4,2,4,2,1,D,A,D,0,1,0,2,5,4,0,5,3,3,5,0,3,1,A,3,1,3,4,1,D,2,0,0,0,4,2,0,1,A,A
B,0,1,0,B,2,1,1,B,3,0,1,D,1,3,3,D,2,5,2,D,1,B,0,4,5,3,1,4,1,0,0,2,B,D,3,5,D,3,4,1,4,6,4,D,4,7,7,4,5,6,D,2,1,3,6,6,6,2,D,2,3,1,1,2,6,D,A,1,5,4,2,1,2,3,1,2,A,1,0,2,4,5,5,0,3,1,2,A,0,0,3,3,2,2,3,3,1,A
B,3,3,1,0,4,1,D,2,4,B,3,5,0,1,5,3,2,B,1,2,3,6,2,4,4,6,B,1,D,2,3,2,7,6,D,1,5,6,3,2,6,6,5,2,D,5,2,7,3,D,7,3,3,5,6,5,4,2,7,1,2,D,5,2,3,1,6,1,2,5,3,2,A,1,3,4,4,2,1,6,1,3,D,0,A,0,2,5,2,A,1,2,4,4,2,0,A,A
B,B,0,1,2,1,1,0,3,4,3,0,1,4,0,1,2,3,B,1,3,5,1,3,4,B,2,3,0,0,4,3,2,1,5,6,6,5,2,1,2,2,6,B,6,4,1,4,2,A,4,D,1,2,3,3,6,1,5,1,3,3,4,2,4,1,5,3,2,0,D,4,1,5,4,4,0,A,3,4,0,3,2,3,1,4,4,2,0,0,D,2,1,0,0,3,3,2,A
B,2,3,2,0,3,0,0,3,1,3,1,0,2,B,1,4,4,4,0,D,2,D,3,2,0,B,1,2,1,4,2,3,3,1,0,3,D,5,0,4,3,0,6,D,6,D,2,2,0,1,1,1,D,5,0,D,3,4,D,2,D,5,4,5,5,1,3,4,A,3,3,4,0,3,3,4,1,4,4,A,3,2,D,0,2,D,3,0,D,0,1,0,3,A,A,A,0,A
B,B,3,0,B,D,0,1,4,4,0,3,3,0,0,0,4,1,B,2,0,0,2,0,1,0,1,D,1,2,D,4,1,1,2,0,0,0,0,1,D,D,B,D,0,6,3,2,3,3,3,0,0,4,5,0,1,D,0,D,4,1,A,5,3,D,5,1,D,1,1,2,5,3,D,A,3,3,4,1,4,A,D,0,0,0,0,2,1,3,1,1,3,2,A,1,2,A,A
B,B,3,1,B,2,D,3,1,1,1,2,0,1,2,B,4,1,4,2,1,D,2,3,1,3,4,4,B,2,D,D,D,0,2,D,3,1,6,4,1,D,3,5,0,5,5,3,B,6,5,2,D,2,A,0,D,6,2,3,5,1,3,3,5,0,0,2,0,2,D,D,3,5,1,2,A,3,4,4,5,A,3,4,1,1,3,3,0,A,1,3,1,1,1,2,0,3,A
B,B,0,2,0,0,1,B,B,4,4,3,2,3,0,2,2,D,B,D,2,2,0,1,4,3,0,3,3,5,1,4,0,3,0,0,1,1,0,B,D,1,6,D,1,1,4,3,4,D,D,0,4,D,4,D,3,5,5,2,3,0,1,4,A,0,2,3,3,4,0,3,4,D,1,D,1,4,0,4,D,A,1,0,0,1,2,D,1,D,0,0,3,D,D,A,0,1,A
B,0,B,3,2,0,1,1,1,B,D,D,D,1,2,4,3,D,D,1,D,2,1,B,1,D,D,0,2,4,1,4,D,A,D,4,1,2,5,D,D,D,2,D,D,5,1,D,3,0,D,2,4,D,5,2,3,D,1,D,D,D,D,0,4,1,4,1,0,D,1,D,3,1,D,1,3,0,D,5,D,A,0,1,3,D,2,D,1,D,D,D,A,0,0,0,D,A,A
B,D,B,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A
B,C,C,B,B,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,A,C,C,C,C,A,A
B,B,2,B,3,2,3,1,C,3,2,3,4,C,B,3,3,C,4,1,2,3,1,3,3,4,1,B,C,0,5,3,C,0,5,6,C,0,5,3,1,6,2,4,5,5,2,1,3,1,2,4,2,2,2,0,4,4,2,1,4,1,1,0,C,6,0,6,3,0,1,0,0,A,3,2,0,0,1,1,0,0,A,2,2,1,0,2,2,A,3,3,0,1,1,3,A,0,A
B,B,B,C,B,3,2,0,0,3,1,2,3,2,1,3,4,1,1,1,1,3,1,2,3,1,2,1,1,B,0,0,4,5,C,3,5,1,0,4,0,0,1,2,4,5,C,4,0,0,3,5,0,3,C,2,5,3,3,C,3,C,2,2,0,C,5,3,4,3,1,2,A,3,4,5,A,3,0,3,4,3,4,1,3,4,A,2,3,1,1,0,3,A,2,0,1,A,A
B,0,1,1,0,B,4,0,C,0,C,0,1,2,3,0,C,4,2,2,0,0,3,C,2,0,1,2,3,1,B,2,1,C,2,5,0,1,6,3,C,0,1,2,1,3,3,0,3,1,1,6,1,1,0,1,4,4,5,4,1,1,A,4,1,4,C,1,C,0,5,2,2,1,0,4,1,A,4,2,3,2,0,2,2,1,3,3,4,C,4,C,A,2,1,C,0,A,A
B,1,2,B,2,0,B,0,3,0,4,0,0,2,1,B,2,1,1,4,3,1,1,3,4,5,1,3,2,0,1,2,2,5,1,4,0,5,2,2,B,1,B,2,1,C,4,2,2,1,A,6,1,6,2,3,2,6,C,6,3,1,4,2,C,1,5,6,2,0,0,6,6,2,0,A,3,4,1,2,C,2,5,2,3,3,2,3,A,0,3,2,2,2,3,3,2,C,A
B,B,1,2,0,B,0,1,0,3,0,B,B,2,1,2,1,0,4,1,1,0,1,3,4,4,0,3,3,3,2,B,4,0,5,2,6,B,4,6,5,3,4,2,3,3,1,6,3,1,4,3,C,5,5,1,2,1,C,5,5,A,4,3,2,5,2,A,2,4,2,5,5,2,2,0,0,3,5,C,0,1,3,4,A,4,1,1,2,1,3,3,0,4,3,1,A,1,A
B,B,2,2,0,4,2,1,0,B,0,4,3,1,4,4,5,1,2,0,C,2,3,B,5,5,2,0,6,6,1,0,C,4,C,6,B,5,6,5,4,5,6,C,A,2,4,1,2,2,3,6,5,1,2,3,6,4,3,3,5,4,1,2,1,3,1,4,5,1,1,4,5,1,2,0,5,4,2,C,A,1,3,4,3,4,5,0,2,A,2,2,2,4,1,A,3,A,A
B,1,2,1,0,B,1,0,3,0,2,3,3,0,0,1,B,0,5,1,1,0,0,3,2,5,B,0,5,6,5,3,0,2,3,2,4,1,6,6,2,0,6,4,1,4,B,6,3,3,1,5,6,6,A,2,6,5,0,5,0,0,5,2,C,3,5,5,0,2,2,C,4,A,1,1,5,1,C,2,0,C,4,C,C,C,A,1,2,3,4,1,1,4,C,0,3,3,A
B,B,2,0,4,1,4,C,2,3,0,B,5,2,5,5,2,4,4,1,4,5,5,4,4,5,B,6,3,0,4,4,5,5,6,6,6,B,1,6,2,2,3,6,3,5,5,4,5,C,5,3,1,1,4,1,4,1,6,4,3,4,6,5,2,1,3,A,5,1,2,6,6,1,C,0,3,A,3,4,3,2,2,5,5,A,2,4,3,0,3,2,0,1,4,2,2,A,A
B,4,C,3,4,3,2,2,B,2,0,0,4,C,2,5,3,1,1,2,C,4,B,3,1,C,1,0,4,4,5,2,6,5,1,2,B,1,1,3,1,5,6,4,4,3,4,6,C,1,6,C,7,4,4,C,6,1,6,C,6,3,3,C,A,5,5,5,2,3,2,5,2,1,2,3,2,3,5,0,2,4,1,4,5,0,0,1,2,A,3,0,4,1,0,1,4,A,A
B,1,0,3,3,1,2,0,0,B,3,3,B,1,1,5,2,4,0,0,4,3,2,4,5,2,3,0,2,4,3,B,6,1,4,5,6,4,4,2,C,2,3,3,1,7,1,4,2,C,5,7,4,5,1,3,2,5,5,2,5,2,C,3,3,2,C,2,1,C,5,A,1,1,1,6,4,1,1,1,0,A,0,4,2,4,3,4,0,0,1,A,0,1,0,2,A,0,A
B,4,2,0,2,0,B,1,0,3,4,1,5,1,2,1,B,2,3,1,5,0,1,3,2,2,2,1,5,6,4,5,6,6,4,2,5,6,5,4,B,B,6,3,8,5,5,5,6,C,2,7,3,5,6,C,4,C,3,2,5,A,3,5,5,4,4,2,2,2,4,5,1,6,5,4,3,1,2,5,0,2,4,C,2,3,A,2,2,2,0,0,0,2,2,2,A,1,A
B,2,B,0,0,0,4,1,0,0,3,2,3,4,4,2,4,3,4,4,3,2,1,3,0,3,1,2,1,B,3,4,B,C,6,6,4,1,6,1,4,2,6,1,2,7,2,2,3,5,2,3,3,1,5,2,C,4,1,6,5,2,4,4,4,6,2,A,2,1,4,4,6,3,2,0,5,4,C,2,6,4,C,0,A,1,0,4,1,1,3,4,3,0,1,A,2,1,A
B,2,0,1,2,3,0,B,3,0,4,B,0,1,4,4,5,3,0,0,B,0,3,0,3,1,1,3,3,6,3,2,2,B,5,3,3,2,2,2,6,6,3,6,B,6,4,C,7,6,5,A,4,C,5,5,6,C,7,4,5,7,6,4,2,4,C,A,4,3,4,6,6,4,3,3,5,2,6,C,2,3,2,0,3,A,4,1,1,1,C,3,4,C,2,A,1,2,A
B,1,4,1,1,B,0,4,5,0,3,5,4,4,B,C,6,3,5,2,1,3,3,B,4,2,5,4,5,4,3,5,4,2,5,2,6,6,6,B,6,7,4,4,2,6,4,8,3,8,2,4,C,3,3,C,C,2,4,C,5,A,5,4,2,6,3,2,4,4,5,1,3,5,3,1,4,6,4,3,5,1,1,2,6,5,1,0,A,2,4,4,4,3,2,0,1,A,A
B,2,0,2,2,1,1,2,1,3,1,3,B,2,4,3,2,0,0,3,1,2,2,B,3,4,2,B,3,3,C,3,6,3,4,2,7,7,B,8,5,4,C,5,4,7,4,5,2,7,2,7,3,7,4,3,6,3,4,4,A,3,3,4,4,4,3,3,2,2,6,2,2,C,3,4,C,5,A,4,2,5,4,3,4,3,5,4,1,4,3,0,1,A,1,A,0,2,A
B,2,C,1,3,3,B,0,1,3,1,2,3,0,1,C,1,0,0,C,0,2,B,1,1,3,4,2,2,C,3,5,2,1,3,B,1,2,C,C,1,6,0,0,4,4,3,4,2,C,2,4,C,2,0,4,5,0,5,C,3,0,5,2,0,2,2,A,1,3,5,5,4,3,3,0,2,A,2,3,3,0,4,2,2,C,C,2,4,1,C,1,C,A,0,0,0,2,A
B,0,0,2,2,3,C,3,1,2,0,2,0,2,2,1,1,0,B,1,1,C,1,0,1,5,4,1,0,3,1,1,0,1,C,C,4,4,2,0,1,2,3,3,2,0,0,3,5,1,C,2,4,2,C,0,A,3,5,4,5,2,5,C,1,1,3,C,C,2,C,2,4,2,1,A,4,C,4,C,0,1,1,0,2,0,0,C,A,2,1,0,2,C,1,2,1,2,A
B,C,C,0,0,C,2,0,0,B,0,4,3,1,C,0,C,C,0,2,C,2,0,C,1,4,B,C,4,C,1,3,C,0,C,0,C,C,5,2,C,B,C,C,2,2,1,0,0,C,C,1,C,C,0,C,2,C,C,C,A,3,5,3,1,4,3,C,2,C,C,5,0,C,1,C,A,0,1,C,1,3,2,C,A,0,C,C,C,0,C,0,0,1,0,C,0,A,A
B,0,4,0,3,1,B,C,3,3,C,4,B,C,5,6,0,0,4,2,1,2,B,3,4,1,5,3,3,3,4,2,4,4,4,2,5,5,C,6,2,3,4,B,5,5,7,8,3,2,4,5,2,5,4,7,8,6,7,3,A,6,2,5,6,5,7,1,4,1,C,1,A,5,3,6,4,6,4,4,5,1,4,6,5,0,4,A,1,1,0,4,3,A,4,A,A,A,A
B,0,B,B,3,3,4,3,4,1,0,4,2,2,1,1,3,B,2,C,1,C,5,2,3,6,B,1,2,3,B,2,C,C,3,3,7,4,2,2,6,6,3,6,5,5,C,7,6,8,2,6,5,7,2,3,2,7,C,2,2,3,6,6,A,C,7,3,3,3,7,5,1,4,A,4,4,6,4,5,6,4,3,5,0,1,3,1,6,4,A,2,3,0,3,3,4,A,A
B,B,4,0,C,2,0,0,0,B,4,0,2,2,3,5,0,5,3,3,3,B,5,2,4,5,1,7,1,4,4,3,5,2,4,5,6,5,3,6,B,8,5,6,3,4,7,5,5,3,7,4,2,7,5,C,6,A,6,4,3,4,4,6,3,A,5,3,3,2,5,6,5,2,4,5,6,6,6,4,1,5,4,1,0,6,6,5,A,1,0,1,3,3,4,0,1,1,A
B,B,3,4,3,0,3,0,B,6,1,C,2,2,1,2,5,5,3,B,5,1,6,4,4,6,4,B,4,4,3,3,7,7,6,C,6,4,3,2,6,4,6,6,4,5,6,6,4,3,3,6,B,A,4,4,6,3,7,5,3,3,3,4,7,7,7,C,C,7,2,A,4,2,1,C,1,3,2,6,C,3,2,A,3,3,A,4,0,1,1,0,C,4,2,A,3,3,A
B,0,2,4,2,4,B,5,4,B,C,4,4,1,4,0,6,1,C,1,2,3,6,6,C,6,2,2,6,2,5,4,6,2,6,2,3,4,4,B,6,2,7,6,7,B,8,3,7,6,C,A,6,4,3,8,3,7,2,2,2,8,3,6,6,4,4,2,4,A,2,6,3,4,4,4,1,5,3,6,6,4,6,4,6,3,5,5,A,4,0,0,3,0,3,5,A,2,A
B,2,4,3,4,0,4,B,0,3,3,3,6,3,3,6,1,1,4,1,6,B,4,3,6,4,7,2,2,3,5,B,4,5,4,3,4,4,6,6,6,3,4,4,7,8,8,4,5,6,B,8,6,9,5,7,5,A,4,3,6,7,5,2,4,6,2,6,5,8,5,8,A,4,3,1,3,5,7,5,2,A,2,2,2,0,3,0,6,0,A,0,1,3,1,4,A,A,A
B,0,0,1,0,B,4,0,4,B,6,1,6,4,1,5,2,1,B,1,3,5,6,4,6,2,3,4,B,6,8,5,3,4,6,4,C,A,8,5,6,3,5,7,5,4,4,5,4,4,4,6,7,7,C,7,5,3,6,8,5,6,C,6,5,6,3,3,6,8,5,5,6,A,A,6,6,5,4,5,3,1,3,2,1,2,6,1,A,3,4,1,3,4,1,A,A,1,A
B,0,0,2,0,B,0,B,B,3,6,5,0,2,B,3,1,C,4,2,1,3,6,4,4,2,B,8,5,2,6,3,8,3,B,7,4,5,4,3,5,5,3,C,3,9,3,7,4,7,4,5,6,7,4,6,5,4,5,3,8,5,5,5,A,C,4,7,7,4,A,5,5,5,7,4,2,4,6,6,4,A,5,6,1,5,6,2,3,4,5,1,A,1,2,A,0,0,A
B,1,B,3,1,1,3,4,B,0,0,5,1,3,6,3,2,6,4,6,6,5,5,5,3,B,5,6,8,C,2,7,7,8,6,8,7,4,7,5,3,B,8,4,9,4,C,8,6,7,5,8,9,4,8,5,3,9,4,4,C,9,3,6,9,4,A,7,3,3,5,2,5,A,7,3,6,3,4,2,1,7,4,3,A,2,5,3,5,2,1,4,5,1,1,A,5,2,A
B,0,B,B,3,2,3,2,B,B,1,2,5,5,2,1,5,B,6,4,2,7,3,4,C,6,B,3,2,2,7,7,6,8,8,4,5,B,6,4,6,4,8,6,A,5,7,5,6,6,4,4,5,6,5,7,5,7,5,6,7,6,6,3,8,7,8,4,7,7,6,2,3,A,5,7,A,3,5,4,3,5,1,1,1,4,2,4,5,5,5,0,2,A,1,A,0,A,A
B,2,3,0,0,B,3,1,5,5,4,0,2,2,B,4,C,2,6,5,B,6,4,C,4,8,5,3,4,B,3,7,5,4,4,6,7,8,7,3,5,9,8,9,6,4,8,7,C,7,5,9,9,9,C,6,7,9,A,4,8,7,8,5,8,8,7,6,8,3,3,3,8,2,6,2,7,4,2,6,A,4,6,5,5,6,A,5,3,4,2,4,3,5,1,5,A,0,A
B,4,0,4,B,B,2,2,1,3,0,6,B,6,4,C,5,1,6,7,2,B,5,7,4,7,6,3,6,8,B,5,4,4,3,7,4,6,6,4,7,8,7,9,4,9,5,4,5,8,8,4,7,A,7,8,5,4,4,5,8,5,5,4,8,8,3,5,3,4,7,6,3,6,2,4,6,7,3,4,5,A,5,6,4,C,3,6,C,A,5,4,0,1,5,5,A,A,A
B,B,B,B,2,6,2,2,0,6,6,1,4,4,5,B,2,2,1,2,4,B,7,3,7,6,8,4,7,6,4,4,8,4,B,3,C,9,8,C,C,9,4,4,9,9,9,6,6,7,8,4,9,8,9,4,8,8,8,6,5,9,8,5,7,7,8,4,3,3,A,4,6,8,C,6,2,5,3,C,5,A,A,3,3,2,6,6,4,4,3,4,2,2,4,3,4,A,A
B,B,B,1,3,0,0,B,3,4,3,B,3,6,6,5,7,4,2,6,3,4,3,4,6,B,3,8,4,B,4,3,8,C,5,9,7,6,8,9,5,4,7,4,4,9,9,6,8,5,7,5,9,5,6,5,8,9,4,5,A,7,8,8,5,4,5,7,5,3,8,5,7,4,5,A,6,2,4,2,4,3,6,6,4,5,7,3,7,2,A,4,A,2,2,1,3,1,A
B,3,0,0,B,B,3,4,3,0,4,2,3,5,3,B,4,B,4,6,8,6,5,5,3,8,3,7,5,6,6,6,6,B,5,4,4,8,8,6,6,8,C,9,6,9,5,5,8,6,9,9,5,7,5,4,9,9,4,9,9,4,5,C,7,4,8,C,8,8,4,C,A,4,3,6,3,C,7,4,A,A,5,4,6,1,2,A,2,A,1,2,0,2,A,1,0,1,A
B,4,B,5,B,2,C,1,1,2,B,2,1,1,7,1,7,3,3,2,2,7,3,7,B,7,7,3,6,6,8,8,5,6,5,4,8,4,5,5,7,8,7,8,5,6,8,5,4,5,5,5,B,8,4,8,8,9,9,C,6,7,8,C,8,4,4,6,6,A,6,5,5,4,3,6,7,2,5,5,5,5,5,6,1,A,3,4,3,1,6,5,6,2,0,A,A,A,A
B,3,2,4,4,0,0,B,3,1,1,5,3,4,3,1,5,B,2,7,6,3,7,2,4,B,8,7,8,5,7,3,6,9,4,9,5,8,8,8,7,4,6,8,8,9,5,9,7,C,9,7,7,5,5,C,8,5,4,8,9,5,7,8,7,8,8,8,4,7,7,5,3,A,4,7,6,2,3,4,8,2,A,4,1,3,7,C,3,7,6,A,3,6,4,1,A,A,A
B,0,B,0,B,B,0,4,0,4,3,5,B,4,7,2,B,4,C,5,3,6,5,5,6,4,8,4,4,3,5,7,B,4,6,9,6,6,4,9,4,4,5,6,8,7,8,8,8,5,5,8,6,6,7,7,9,9,7,6,8,8,C,7,5,5,8,5,8,9,5,7,9,5,A,7,3,5,3,2,4,2,6,5,A,4,6,5,3,3,2,5,1,0,A,2,A,0,A
B,2,B,2,B,6,0,0,1,B,4,4,2,6,2,4,4,3,2,3,3,3,3,4,B,7,4,8,3,9,6,5,4,8,6,5,7,9,9,4,4,5,7,8,5,6,5,9,6,5,9,6,7,5,5,7,5,6,6,6,5,7,5,7,5,8,8,6,5,A,4,8,7,5,4,4,6,3,4,2,5,8,A,5,5,3,5,4,4,3,A,3,6,A,3,2,4,0,A
B,3,3,1,2,2,2,B,2,5,B,6,4,B,3,2,5,3,7,2,3,B,6,4,B,4,3,7,8,6,4,4,7,4,8,4,6,5,5,9,9,5,7,6,9,7,5,6,6,6,7,8,9,7,9,6,5,8,5,5,9,5,8,6,5,8,7,5,7,7,A,8,3,7,3,8,5,3,3,3,4,6,2,6,A,A,5,1,1,5,A,2,3,2,1,0,4,A,A
B,1,0,B,5,4,2,0,1,B,7,2,4,3,5,1,4,5,5,7,2,4,6,B,5,4,4,B,8,5,5,7,8,6,7,6,5,7,9,9,9,6,6,5,6,7,9,5,8,7,9,8,6,8,5,7,6,7,9,7,8,4,7,6,7,5,A,7,7,8,5,6,8,4,4,5,7,8,7,3,8,3,3,3,A,1,6,4,2,6,5,6,5,2,4,6,A,2,A
B,B,B,4,3,0,6,5,4,2,1,4,2,1,1,B,B,7,4,5,7,3,3,7,B,3,3,5,3,7,5,5,5,8,6,6,7,6,5,6,8,8,8,7,5,7,9,9,8,8,7,9,7,6,9,8,8,5,7,8,6,7,9,5,5,6,6,5,A,6,5,5,5,6,4,4,6,3,5,2,6,3,A,6,4,6,3,A,1,A,1,1,4,3,A,A,0,A,A
